Hydrogen,Oxigen,Methane,CO,CO2,Ethylene,Ethane,Acethylene,H2O,Date
30,413,39,140,2690,17,48,0,7,1/1/2023
7,376,13,205,1780,4,15,0,4,1/2/2023
7,12300,0,302,3640,3,0,1,36,1/3/2023
11,1780,2,29,867,0,54,0,27,1/4/2023
0,9444,3,358,5507,6,0,0,75,1/5/2023
51,339,2,53,344,0,217,0,33,1/6/2023
71,342,8,133,2650,7,257,0,37,1/7/2023
488,11861,13,85,1957,29,23,0,10,1/8/2023
5,6410,3,465,2850,0,0,0,79,1/9/2023
9,738,10,294,1960,4,17,0,7,1/10/2023
5,378,16,231,2170,5,22,0,4,1/11/2023
18,154,5,127,711,3,91,0,7,1/12/2023
0,20600,2,152,823,8,2,0,33,1/13/2023
0,19900,0,114,782,0,0,0,6,1/14/2023
16,2020,6,138,663,0,138,0,12,1/15/2023
0,21200,5,123,767,0,0,0,4,1/16/2023
2,15900,4,359,2250,0,0,0,3,1/17/2023
0,25900,0,22,399,0,0,0,4,1/18/2023
0,27300,0,56,202,0,0,0,3,1/19/2023
6,3760,17,277,2200,7,31,0,3,1/20/2023
2845,5860,7406,32,1344,16684,5467,7,0,1/21/2023
15,227,3,60,853,3,84,0,28,1/22/2023
4,21800,0,75,655,3,0,11,5,1/23/2023
38,461,4,126,3580,3,136,0,17,1/24/2023
7,1990,10,154,2210,4,18,0,1,1/25/2023
78,294,3,132,892,4,121,0,11,1/26/2023
0,19500,0,73,196,0,0,0,4,1/27/2023
7,15700,2,373,3470,28,0,0,8,1/28/2023
14,2750,12,54,5190,0,0,0,3,1/29/2023
0,14908,0,52,620,0,0,2,7,1/30/2023
114,2359,2,144,707,0,0,0,28,1/31/2023
47,400,4,74,621,0,57,0,20,2/1/2023
0,21700,0,198,2250,6,0,0,3,2/2/2023
0,23500,0,29,347,0,0,0,10,2/3/2023
5810,11900,471,354,1470,798,44,3990,16,2/4/2023
6200,291,218,492,10600,103,39,0,10,2/5/2023
3,309,2,39,791,3,99,0,183,2/6/2023
12,2150,2,170,1440,0,0,0,6,2/7/2023
10,8010,2,441,891,3,0,0,17,2/8/2023
5,12500,3,534,3010,3,0,0,3,2/9/2023
24,2350,4,332,2640,0,0,0,13,2/10/2023
38,191,2,49,350,0,150,0,22,2/11/2023
3,14900,0,163,458,0,0,0,3,2/12/2023
11,478,11,196,1900,3,5,0,2,2/13/2023
7,10300,6,725,2120,0,0,0,16,2/14/2023
1230,239,61,576,11300,28,24,0,12,2/15/2023
20,17400,4,395,999,16,4,0,31,2/16/2023
8,1060,14,235,1850,6,22,0,3,2/17/2023
0,5640,17,305,2200,6,41,0,6,2/18/2023
20,2170,6,307,1960,0,0,0,4,2/19/2023
0,20000,3,117,699,0,0,0,2,2/20/2023
26,321,3,68,598,0,62,0,19,2/21/2023
14,2690,3,155,735,0,0,0,2,2/22/2023
0,21900,0,46,520,3,0,0,16,2/23/2023
58,177,4,70,636,4,108,0,16,2/24/2023
7,647,8,152,528,0,0,0,3,2/25/2023
5,17400,4,296,2750,7,0,0,10,2/26/2023
0,24300,0,54,738,0,0,0,4,2/27/2023
3,1900,37,234,2800,10,102,0,6,2/28/2023
3,2020,6,1070,2950,0,0,0,3,3/1/2023
20,4530,2,842,2750,0,0,0,4,3/2/2023
10,254,4,71,1020,0,108,0,22,3/3/2023
12,1840,2,36,1560,3,72,0,36,3/4/2023
12,15200,4,413,4720,5,0,0,14,3/5/2023
4,57,5,89,876,2,6,0,7,3/6/2023
10,2060,2,97,549,0,0,0,7,3/7/2023
49,352,4,87,1030,3,112,0,20,3/8/2023
17,564,5,320,2450,0,0,0,6,3/9/2023
56,21110,4,46,430,8,430,0,36,3/10/2023
5,5300,5,685,2090,0,0,0,13,3/11/2023
11,265,2,54,1050,0,63,0,16,3/12/2023
13200,1120,2650,156,2240,16400,1610,1510,22,3/13/2023
3,18400,0,128,1700,28,0,0,12,3/14/2023
5,1210,0,22,226,0,68,0,26,3/15/2023
757,289,1700,1730,24900,2280,755,12,77,3/16/2023
3,1940,2,29,650,0,49,0,22,3/17/2023
9,414,2,34,843,5,278,0,39,3/18/2023
24,455,41,186,2790,10,65,0,3,3/19/2023
91,571,6,80,1860,8,168,0,31,3/20/2023
3,12200,2,452,6050,0,0,0,52,3/21/2023
9,278,2,34,1120,0,55,0,38,3/22/2023
29,266,2,74,725,4,78,0,43,3/23/2023
20,14453,7,66,568,2,1,0,5,3/24/2023
3,5810,9,369,1050,18,3,0,4,3/25/2023
87,362,47,560,3920,5,31,0,4,3/26/2023
3,15700,1,103,555,0,0,0,8,3/27/2023
4,19700,0,69,188,0,0,0,5,3/28/2023
3,12000,0,195,283,0,0,0,4,3/29/2023
5030,7140,179,38,260,0,21,0,15,3/30/2023
11,1760,2,41,594,3,49,0,27,3/31/2023
6,13300,0,411,4160,0,0,0,55,4/1/2023
7,8220,18,236,2730,0,4,0,2,4/2/2023
3,220,2,24,246,0,153,0,12,4/3/2023
8,8600,4,580,1750,0,0,0,8,4/4/2023
0,16443,1,10,348,0,0,0,5,4/5/2023
10,2740,2,46,322,4,211,0,27,4/6/2023
122,294,50,372,2180,69,31,0,19,4/7/2023
9,228,2,44,515,0,128,0,72,4/8/2023
277,21500,142,93,2090,802,59,3840,5,4/9/2023
12,151,2,34,569,4,48,0,20,4/10/2023
8,10600,23,226,4390,0,5,0,2,4/11/2023
22,1220,3,30,813,5,291,0,27,4/12/2023
4,3910,6,599,2310,0,0,0,14,4/13/2023
21,425,32,217,3030,9,47,0,4,4/14/2023
12,4350,11,870,11100,16,8,0,10,4/15/2023
17,645,6,87,599,5,211,0,19,4/16/2023
3,4070,7,761,2570,0,0,0,12,4/17/2023
95,1760,72,488,3050,10,36,0,12,4/18/2023
8710,4530,658,437,1780,1260,97,9740,1,4/19/2023
25,15500,3,267,1180,0,0,0,4,4/20/2023
9,578,35,267,1610,52,17,0,4,4/21/2023
3,20600,0,118,906,18,0,0,6,4/22/2023
40,2350,8,538,2480,9,0,1,62,4/23/2023
4,20200,0,194,2050,66,0,0,13,4/24/2023
8,117,2,20,491,0,75,0,15,4/25/2023
33,2000,2,53,486,0,184,0,47,4/26/2023
15,18300,4,266,630,13,3,1,31,4/27/2023
11,222,2,35,309,0,211,0,30,4/28/2023
0,22900,0,66,553,0,0,0,5,4/29/2023
23,14800,1,449,2720,3,0,0,89,4/30/2023
4,6890,0,322,825,0,0,0,18,5/1/2023
8,352,2,38,506,4,75,0,24,5/2/2023
9,17000,4,173,1370,3,0,0,5,5/3/2023
40,511,3,95,2190,0,74,0,18,5/4/2023
14,437,2,20,645,0,44,0,33,5/5/2023
0,19300,0,53,481,0,0,0,6,5/6/2023
48,1330,4,124,1010,3,79,0,16,5/7/2023
0,25200,0,67,462,0,0,0,3,5/8/2023
13500,343,3150,113,984,5,1230,1,6,5/9/2023
67,5940,14,930,4030,0,5,0,2,5/10/2023
211,249900,148,118,2300,751,103,3030,9,5/11/2023
6620,5250,2240,190,1870,13100,1400,1660,21,5/12/2023
15,169,5,77,532,0,72,0,11,5/13/2023
7,492,1,54,221,0,0,0,3,5/14/2023
1099,70,545,184,1402,6,230,0,5,5/15/2023
6,6510,4,529,1540,0,0,0,9,5/16/2023
3,19700,0,108,1480,10,0,0,28,5/17/2023
16,7340,5,548,3170,5,0,0,8,5/18/2023
19,3490,1,374,728,0,0,0,5,5/19/2023
8,1210,3,166,454,0,43,0,18,5/20/2023
14,17600,0,161,2010,22,0,0,16,5/21/2023
14,27000,0,27,397,0,0,0,7,5/22/2023
37,224,3,39,1030,8,51,0,29,5/23/2023
79,699,72,508,3810,83,42,0,5,5/24/2023
3,15459,5,68,902,12,2,13,6,5/25/2023
0,4330,0,81,192,0,0,0,4,5/26/2023
18,17600,4,231,1610,0,7,0,3,5/27/2023
39,1860,3,69,711,4,96,0,27,5/28/2023
0,20300,0,78,190,0,0,0,5,5/29/2023
54,1690,8,554,3990,0,3,0,2,5/30/2023
1450,13000,157,278,3360,82,75,0,6,5/31/2023
3,17600,3,426,2480,0,0,0,40,6/1/2023
4,22200,0,82,499,0,0,0,10,6/2/2023
0,23900,0,49,466,0,0,0,4,6/3/2023
15,1280,2,675,2530,0,0,0,8,6/4/2023
5,3860,4,739,2030,0,0,0,11,6/5/2023
0,3300,0,118,270,0,0,0,3,6/6/2023
52,322,3,128,754,4,60,0,21,6/7/2023
12,465,2,52,918,0,84,0,24,6/8/2023
0,789,6,280,502,0,0,0,3,6/9/2023
5,3686,5,158,4331,6,1,0,19,6/10/2023
0,1230,2,113,326,0,0,0,5,6/11/2023
4,4990,7,760,2600,0,0,0,11,6/12/2023
37,44788,5,313,1776,8,4,0,5,6/13/2023
5,17400,0,258,1130,0,0,0,40,6/14/2023
73,1100,10,253,2101,1,2,0,4,6/15/2023
47,366,2,88,966,5,73,0,15,6/16/2023
11,1140,7,540,2980,47,0,0,36,6/17/2023
6,4570,2,451,1500,0,0,0,31,6/18/2023
4,17000,1,408,936,0,0,0,5,6/19/2023
21,2710,5,167,1260,3,0,0,10,6/20/2023
3,19500,0,209,2650,30,0,0,23,6/21/2023
3,11200,0,120,293,0,0,0,15,6/22/2023
0,16000,2,426,1360,0,0,0,4,6/23/2023
4,4740,2,154,1910,8,0,0,15,6/24/2023
4,7917,4,171,2499,9,1,0,7,6/25/2023
0,21800,0,249,2510,7,0,0,4,6/26/2023
7,1200,2,52,1340,0,67,0,24,6/27/2023
0,18600,0,67,511,3,0,0,19,6/28/2023
7,425,9,317,2690,4,15,0,8,6/29/2023
17,262,2,46,1050,4,97,0,26,6/30/2023
14,514,11,674,11700,13,5,1,21,7/1/2023
7,1160,4,527,1530,0,0,0,13,7/2/2023
44,1735,1,133,520,0,0,0,24,7/3/2023
2,16072,1,70,435,0,0,0,6,7/4/2023
25,2060,3,42,552,0,102,0,15,7/5/2023
8,8470,3,318,569,12,0,0,18,7/6/2023
7,420,16,545,10600,7,5,0,16,7/7/2023
14,305,2,35,517,0,60,0,23,7/8/2023
54,256,3,112,780,0,127,0,18,7/9/2023
91,24600,5,31,420,0,6,0,9,7/10/2023
5,7550,5,746,24200,0,0,0,11,7/11/2023
36,247,4,58,776,4,157,0,16,7/12/2023
10700,13100,625,79,660,0,190,1,4,7/13/2023
5,12300,17,269,1880,3,5,0,2,7/14/2023
5,9880,5,582,1720,0,0,0,13,7/15/2023
70,371,1,12,1750,7,117,0,62,7/16/2023
30,302,3,54,604,3,69,0,13,7/17/2023
0,17000,4,182,1100,0,0,0,5,7/18/2023
104,1450,37,357,3220,11,11,0,8,7/19/2023
12,461,3,69,2150,3,8,0,7,7/20/2023
33,312,4,88,738,0,91,0,8,7/21/2023
48,289,3,56,650,5,132,0,13,7/22/2023
10200,11900,573,87,611,0,162,0,5,7/23/2023
0,302,4,25,1510,3,292,0,33,7/24/2023
8,189,1,37,698,3,78,0,41,7/25/2023
2,24800,3,216,3260,9,0,0,6,7/26/2023
3,23700,0,202,3290,8,0,0,4,7/27/2023
178,4070,144,672,2260,3,10,0,12,7/28/2023
478,9460,21,54,323,0,4,0,27,7/29/2023
4,26100,1,206,1440,13,0,13,4,7/30/2023
3,9730,10,532,1320,21,4,0,4,7/31/2023
0,27300,0,32,525,0,0,0,19,8/1/2023
5,20400,0,148,820,17,0,0,9,8/2/2023
9350,229,188,451,2720,228,28,0,5,8/3/2023
4,19100,2,92,736,0,0,0,4,8/4/2023
0,26600,2,209,2190,6,0,0,4,8/5/2023
0,18400,0,61,304,0,0,0,6,8/6/2023
27,489,11,181,591,4,11,0,3,8/7/2023
7,6150,3,320,785,6,0,1,19,8/8/2023
26,8500,2,238,1150,0,3,0,7,8/9/2023
52,1550,3,90,681,0,68,0,11,8/10/2023
52,1710,3,87,934,5,82,0,51,8/11/2023
14,248,2,35,532,3,73,0,26,8/12/2023
2,14700,2,297,1780,55,0,0,14,8/13/2023
3,20500,0,35,290,0,0,0,5,8/14/2023
0,1565,0,111,417,0,0,0,7,8/15/2023
21,364,3,40,967,3,68,0,15,8/16/2023
3,17400,3,362,2230,4,0,0,3,8/17/2023
2820,16400,144,257,1080,206,11,2190,11,8/18/2023
0,21200,0,91,1520,0,0,0,2,8/19/2023
4,9660,0,51,275,0,0,0,31,8/20/2023
9,10700,2,308,1970,0,4,0,9,8/21/2023
30,466,2,42,439,0,79,0,19,8/22/2023
22,2820,3,770,2390,3,0,0,5,8/23/2023
6,11800,4,562,1670,0,0,0,12,8/24/2023
0,2220,13,131,1520,4,22,0,4,8/25/2023
4,279,8,285,4230,0,4,0,3,8/26/2023
5,4460,7,689,2410,0,0,0,12,8/27/2023
4,4070,6,664,2440,0,0,0,11,8/28/2023
7,5860,0,360,557,0,0,0,19,8/29/2023
0,944,6,266,3530,8,11,0,4,8/30/2023
22,399,7,100,2580,11,286,0,52,8/31/2023
23,888,16,914,3420,5,6,0,7,9/1/2023
106,581,47,760,4070,11,30,0,5,9/2/2023
921,22000,42,132,542,75,3,713,13,9/3/2023
4,13600,3,443,5890,0,7,0,77,9/4/2023
24,1330,12,771,2960,3,4,0,4,9/5/2023
14,2380,78,372,1850,33,1850,0,27,9/6/2023
104,163,5,40,579,17,274,0,24,9/7/2023
17,3960,29,113,4420,3,5,0,2,9/8/2023
25,508,12,317,2750,4,14,0,4,9/9/2023
39,1060,4,74,804,5,83,0,58,9/10/2023
35,302,3,98,654,4,79,0,13,9/11/2023
23,505,2,49,807,0,48,0,69,9/12/2023
16,1050,15,122,12000,0,21,0,5,9/13/2023
16,2270,0,35,604,0,53,0,22,9/14/2023
24,17200,0,68,230,0,0,0,15,9/15/2023
4,4690,6,595,2130,0,0,0,8,9/16/2023
30,298,4,105,920,3,83,0,18,9/17/2023
19,618,15,184,586,2,4,0,3,9/18/2023
5,16100,2,90,93,0,0,0,4,9/19/2023
54,281,4,89,833,4,126,0,17,9/20/2023
3,45100,5,568,2160,3,2,0,11,9/21/2023
57,2470,4,98,926,4,147,0,14,9/22/2023
10,3350,2,678,2360,0,0,0,4,9/23/2023
3,7951,11,319,3716,10,5,0,3,9/24/2023
3,8020,6,569,3710,16,0,0,6,9/25/2023
3,13900,1,296,5070,17,0,0,35,9/26/2023
5,18200,5,475,846,11,0,0,12,9/27/2023
29,396,2,53,569,3,115,0,27,9/28/2023
7,339,2,31,644,0,167,0,24,9/29/2023
27,246,3,66,725,0,122,0,11,9/30/2023
0,19100,0,72,629,0,0,0,13,10/1/2023
8,16200,4,434,1890,0,0,0,14,10/2/2023
4,624,36,232,2580,3,54,0,8,10/3/2023
4,5040,4,597,1440,4,3,2,27,10/4/2023
5,10800,0,491,1140,3,0,0,21,10/5/2023
0,14700,2,284,3820,0,0,0,42,10/6/2023
9,2200,6,432,7980,17,0,0,21,10/7/2023
17,233,2,40,1230,3,64,0,42,10/8/2023
7,4560,5,444,1580,4,0,0,29,10/9/2023
48,245,3,112,914,3,77,0,15,10/10/2023
6,10200,0,434,908,3,0,0,17,10/11/2023
0,22200,2,223,2650,10,0,0,6,10/12/2023
6,8510,13,291,2050,9,0,0,5,10/13/2023
5,7930,5,709,2310,5,0,1,36,10/14/2023
3,1480,37,126,319,87,32,0,2,10/15/2023
49,398,2,58,710,3,85,0,20,10/16/2023
81,23790,10,852,1371,0,0,0,4,10/17/2023
37,623,21,888,3690,10,10,0,3,10/18/2023
0,25600,0,25,467,0,0,0,3,10/19/2023
54,281,4,89,833,4,126,0,17,10/20/2023
4,10600,1,364,2020,4,0,0,76,10/21/2023
8,5570,2,323,989,0,0,0,24,10/22/2023
8,8710,21,230,5050,0,4,0,3,10/23/2023
23,1690,2,43,1380,3,76,0,62,10/24/2023
3,3710,6,610,2070,0,0,0,9,10/25/2023
0,14300,7,148,1960,3,13,0,2,10/26/2023
6,11600,5,581,1870,0,0,0,11,10/27/2023
0,23100,0,202,2220,6,0,0,3,10/28/2023
7,1430,4,221,268,0,0,0,2,10/29/2023
6,10600,2,575,1370,0,0,0,2,10/30/2023
152,21400,254,64,1510,2250,908,4830,5,10/31/2023
0,24100,0,84,779,6,0,0,7,11/1/2023
28,9950,16,245,1290,0,3,0,4,11/2/2023
24,257,2,47,495,4,105,0,15,11/3/2023
3,15400,0,333,1240,18,0,0,14,11/4/2023
42,2580,1,25,660,0,56,0,37,11/5/2023
13,12300,0,309,908,0,0,0,26,11/6/2023
0,24600,0,31,907,9,0,0,8,11/7/2023
254,592,14,376,2500,5,9,0,6,11/8/2023
12880,1571,827,184,2267,4,320,0,12,11/9/2023
76,324,45,904,5220,10,27,0,8,11/10/2023
0,27200,0,100,609,0,0,0,8,11/11/2023
5,15000,0,230,399,0,0,0,4,11/12/2023
4,4860,4,735,2010,0,0,0,9,11/13/2023
8,292,3,39,1390,0,79,0,28,11/14/2023
54,320,2,222,1600,0,15,0,19,11/15/2023
0,21800,3,78,2180,9,8,0,6,11/16/2023
38,3127,11,177,727,28,3,19,38,11/17/2023
46,390,3,127,827,4,54,0,13,11/18/2023
6,222,2,36,311,0,175,0,22,11/19/2023
5,10500,7,696,2820,0,0,0,17,11/20/2023
10,11900,2,403,1140,6,0,2,23,11/21/2023
7907,3564,467,96,1765,2,249,0,14,11/22/2023
4,9600,7,785,2690,0,0,0,14,11/23/2023
88,11300,3,530,2640,0,0,0,56,11/24/2023
24,1970,2,34,398,0,92,0,13,11/25/2023
35,438,3,50,547,0,44,0,13,11/26/2023
3,7880,1,368,863,0,0,0,23,11/27/2023
3210,3570,160,360,2130,4,43,4,3,11/28/2023
35,232,3,78,766,0,91,0,12,11/29/2023
0,16100,0,251,5620,21,0,0,44,11/30/2023
0,30800,0,98,1740,4,0,0,4,12/1/2023
52,645,22,203,1760,5,51,0,5,12/2/2023
2,15700,4,358,2770,2,0,0,4,12/3/2023
61,1670,4,98,591,0,52,0,11,12/4/2023
0,24400,0,51,458,0,0,0,4,12/5/2023
0,27000,0,47,480,0,0,0,4,12/6/2023
21,6240,3,788,4290,7,0,0,41,12/7/2023
59,1900,3,68,704,3,109,0,13,12/8/2023
40,24800,9,84,919,17,12,0,4,12/9/2023
253,17300,135,82,1870,57,734,3330,4,12/10/2023
5,9400,4,496,2720,3,0,1,51,12/11/2023
30,510,2,46,691,0,70,0,25,12/12/2023
8,1140,2,42,424,3,158,0,75,12/13/2023
227,9987,11,122,2942,8,26,0,20,12/14/2023
0,21500,6,197,2070,34,15,0,3,12/15/2023
2183,192,1061,183,5730,1308,646,2,31,12/16/2023
4,18900,4,152,825,0,0,0,2,12/17/2023
50,205,4,70,758,4,105,0,20,12/18/2023
34,394,2,72,702,4,37,0,17,12/19/2023
23,6480,5,530,1760,0,0,0,22,12/20/2023
0,839,4,458,2830,0,0,0,2,12/21/2023
3,11200,3,483,1230,0,0,0,4,12/22/2023
6,6080,5,893,2640,0,0,0,12,12/23/2023
35,1920,6,202,1310,20,0,0,8,12/24/2023
7,4520,2,157,1080,0,0,0,7,12/25/2023
7,4973,21,200,4782,0,2,0,5,12/26/2023
11,15700,0,62,649,0,0,0,16,12/27/2023
16,2470,8,520,2660,5,8,2,4,12/28/2023
8,634,2,42,444,3,227,0,53,12/29/2023
0,22800,0,36,585,0,0,0,34,12/30/2023
0,693,43,68,2770,4,91,0,10,12/31/2023
4,893,24,96,707,60,17,0,4,1/1/2024
9040,1870,1790,183,2060,7820,638,1450,18,1/2/2024
2,24978,2,19,498,0,0,0,4,1/3/2024
3060,257,190,403,8930,68,47,0,14,1/4/2024
0,23200,0,40,620,0,0,0,5,1/5/2024
4,425,3,68,508,0,99,0,48,1/6/2024
59,1420,3,90,766,0,97,0,20,1/7/2024
25,1500,9,482,2470,4,0,0,10,1/8/2024
0,15115,2,97,915,6,1,0,14,1/9/2024
2,12704,2,32,801,3,3,0,5,1/10/2024
7,19100,0,47,700,0,0,0,16,1/11/2024
48,252,2,62,651,0,112,0,16,1/12/2024
79,667,6,45,409,14,533,0,35,1/13/2024
61,440,4,98,909,3,117,0,15,1/14/2024
21,243,0,19,187,0,65,0,18,1/15/2024
0,25800,0,49,427,0,0,0,11,1/16/2024
37,280,3,43,535,2,78,0,15,1/17/2024
16,2030,4,44,709,17,183,0,22,1/18/2024
0,22800,0,66,914,0,0,0,4,1/19/2024
10,881,2,54,1100,0,102,0,27,1/20/2024
6,177,0,17,413,0,35,0,21,1/21/2024
29,447,6,84,766,13,270,0,20,1/22/2024
114,7840,2,258,1250,0,0,0,25,1/23/2024
0,7520,5,297,778,0,3,0,2,1/24/2024
322,669,181,614,466,170,15,173,2,1/25/2024
58,896,3,63,1040,2,86,0,28,1/26/2024
13,309,10,121,3340,15,71,0,43,1/27/2024
9,12000,4,475,1570,0,0,0,12,1/28/2024
34,7200,3,380,1680,0,0,0,25,1/29/2024
0,24800,0,81,514,0,0,0,5,1/30/2024
30,316,161,309,2710,248,28,0,4,1/31/2024
3,5040,2,510,1230,0,0,0,33,2/1/2024
12886,61,877,83,864,4,305,0,0,2/2/2024
0,16600,3,105,624,0,0,0,4,2/3/2024
17,232,2,47,796,0,116,0,23,2/4/2024
135,5091,33,568,1301,3,5,0,3,2/5/2024
5,22900,0,149,826,10,0,0,10,2/6/2024
89,189,2,50,502,0,44,0,37,2/7/2024
2390,9050,163,546,2660,3,53,0,12,2/8/2024
32,7150,4,666,6450,5,0,0,63,2/9/2024
4,17000,5,344,2380,3,0,0,3,2/10/2024
0,21900,2,39,1420,3,7,0,9,2/11/2024
6,4970,5,587,4230,5,0,0,4,2/12/2024
11,1770,0,30,593,0,60,0,29,2/13/2024
36,2950,101,525,4080,193,35,0,6,2/14/2024
6,9960,6,678,2220,0,0,0,10,2/15/2024
30,1310,3,45,641,3,111,0,15,2/16/2024
46,227,2,67,735,3,122,0,17,2/17/2024
23349,2475,5045,156,48,5588,3532,2951,2,2/18/2024
9,2490,2,42,351,3,184,0,66,2/19/2024
2,21500,2,106,1040,3,0,0,4,2/20/2024
3,3660,4,669,1720,4,0,0,20,2/21/2024
28,289,5,157,787,3,51,0,31,2/22/2024
0,22900,0,205,2190,5,0,0,5,2/23/2024
7,7290,0,463,975,3,0,0,44,2/24/2024
12,285,2,35,895,0,51,0,37,2/25/2024
7,2630,2,784,1410,0,0,0,2,2/26/2024
10,210,7,44,1060,30,521,0,44,2/27/2024
17,259,2,31,561,0,56,0,19,2/28/2024
8,12200,6,646,3020,0,0,0,17,2/29/2024
40,266,4,86,1110,3,106,0,21,3/1/2024
52,387,37,936,6130,8,21,0,4,3/2/2024
5,15700,10,507,5330,19,14,0,17,3/3/2024
0,219,4,20,507,30,49,67,3,3/4/2024
17,5680,16,809,3590,11,0,0,3,3/5/2024
13,3430,3,220,1280,0,0,0,3,3/6/2024
15,334,3,64,622,3,108,0,12,3/7/2024
13,6680,2,236,857,0,0,0,4,3/8/2024
0,1850,0,43,554,0,0,0,5,3/9/2024
59,645,20,267,2300,9,15,0,4,3/10/2024
216,24300,93,94,1890,578,36,2830,7,3/11/2024
6,7300,7,788,3030,0,0,0,12,3/12/2024
48,71,3,36,673,4,144,0,26,3/13/2024
37,493,2,75,1190,0,62,0,24,3/14/2024
1310,2690,1010,119,2220,2520,376,17,34,3/15/2024
9,2700,4,238,5050,6,0,0,12,3/16/2024
0,5010,4,262,845,0,0,0,3,3/17/2024
26,4440,7,89,784,6,302,0,23,3/18/2024
11,15600,3,309,2240,0,3,0,3,3/19/2024
14,1170,4,72,1120,3,100,0,29,3/20/2024
3,16900,2,61,549,2,0,0,10,3/21/2024
21,197,5,44,1070,6,523,0,20,3/22/2024
0,21300,0,51,658,0,0,0,9,3/23/2024
6,9550,6,649,2960,0,0,0,14,3/24/2024
35,336,4,75,587,9,96,0,8,3/25/2024
9,13000,2,526,2050,0,0,0,24,3/26/2024
3,22900,0,201,2320,5,0,0,4,3/27/2024
9,909,16,279,2820,0,3,0,3,3/28/2024
3,21700,0,129,1530,0,0,0,21,3/29/2024
5,8930,5,466,1930,0,0,0,33,3/30/2024
0,21600,0,204,2750,5,0,0,6,3/31/2024
4,4300,6,656,2090,0,0,0,11,4/1/2024
3,395,5,47,623,9,11,0,9,4/2/2024
7,8570,5,593,2360,0,0,0,42,4/3/2024
59,587,15,577,6140,5,5,0,4,4/4/2024
24,35700,5,361,1570,0,0,0,7,4/5/2024
15,308,3,64,581,5,27,0,18,4/6/2024
590,23200,949,209,51,828,168,582,4,4/7/2024
13,283,3,33,649,0,80,0,19,4/8/2024
4,408,22,105,1100,7,47,0,7,4/9/2024
0,22000,0,122,856,8,0,0,7,4/10/2024
29,277,3,95,607,0,89,0,14,4/11/2024
6,5790,5,705,2250,0,0,0,9,4/12/2024
0,448,2,24,482,0,99,0,12,4/13/2024
0,8380,0,23,180,0,0,0,7,4/14/2024
